"","X.3","X.2","X.1","X","Census.Tract","Pesticides","Tox..Release","Pollution.Burden.Score","PM2.5","Traffic","Ozone","Asthma"
"50",50,50,50,50,6037540901,0,12166.54639,7.96544869355125,12.11292708,1070.013824,0.04259906,121.6
"51",51,51,51,51,6037533806,7.823058576,4605.206706,8.84389647930916,12.04351864,5116.249847,0.04632538,54.25
"52",52,52,52,52,6029002200,0,26.04519973,7.26482259977169,15.91452262,681.9583609,0.06464682,84.72
"53",53,53,53,53,6037534102,31.24980798,4410.199951,8.44477637341622,12.02588499,1025.609038,0.04716458,54.25
"54",54,54,54,54,6065030502,0.000621388,625.5926615,8.18263485658388,12.37134098,1566.079784,0.06718273,60.49
"55",55,55,55,55,6037127400,0,685.6316884,8.35807646061397,12.29587676,2892.070994,0.06350576,77.98
"56",56,56,56,56,6039000800,0.009711914,10814.2334,7.88168537730153,12.69298206,1115.703732,0.05763123,90.04
"57",57,57,57,57,6037570301,0.841775325,8781.373127,8.03084869023605,12.50092519,1663.949239,0.04259906,94.42
"58",58,58,58,58,6037534301,0,5265.72998,8.53262187515811,12.06526369,677.1907416,0.04588368,43.15
"59",59,59,59,59,6037294701,0,9756.536946,8.43688840328437,11.73680492,632.7478884,0.03892377,76.33
"60",60,60,60,60,6037239330,0,4239.376709,7.93813482425731,12.14625901,1230.505058,0.04490202,113.45
"61",61,61,61,61,6019001301,1.85567879,2874.314311,7.26100545540874,13.88830162,685.4053619,0.06133785,118.84
"62",62,62,62,62,6037570402,0.001011241,9572.14974,8.52802287107538,12.78098946,4072.827967,0.04192559,88.49
"63",63,63,63,63,6037239702,0,5194.089925,7.36903758965885,12.116733,3032.755893,0.0438112,113.88
"64",64,64,64,64,6037540400,0,8916.260049,8.1301747475621,12.0701055,2623.566956,0.0438112,122.71
"65",65,65,65,65,6037296210,0,5523.829834,7.7711957324899,11.70137136,856.100235,0.03809217,103.61
"66",66,66,66,66,6037534302,0,5218.023356,8.22931512744488,12.03778507,661.0383819,0.04588368,46.98
"67",67,67,67,67,6077003803,1036.100262,438.5243429,8.76962093714184,10.81852036,913.4255036,0.04753555,77.16
"68",68,68,68,68,6037120020,0,694.0063477,7.5187579300544,11.81424877,1444.132983,0.06464682,93.94
"69",69,69,69,69,6037434004,4.203130469,2955.513346,8.81182347478148,12.03688662,1963.851443,0.05462941,65.92
"70",70,70,70,70,6019000901,2109.699244,2841.494995,7.58445349848339,13.65016787,364.259288,0.060311,139.35
"71",71,71,71,71,6019007100,620.7792218,447.3131676,8.29523116329245,13.76768283,795.7905056,0.06133785,126.72
"72",72,72,72,72,6037205110,0,2808.570027,8.2479345834139,12.25398221,752.2054963,0.04756207,76.1
"73",73,73,73,73,6037122410,0,926.9586692,7.53703617491147,11.52566258,1034.494912,0.06236471,79.39
"74",74,74,74,74,6037532304,0,3727.709961,9.43675859811519,12.14921007,2366.91483,0.04753555,50.87
"75",75,75,75,75,6065042505,0.114646573,2053.690063,7.74393257194247,11.64985388,1831.235988,0.07000067,60.19
"76",76,76,76,76,6037208000,0.046765733,1906.571736,9.23887094258621,12.53587816,2879.594269,0.04791979,41.43
"77",77,77,77,77,6019001500,2979.756778,6453.078705,9.7117773757461,13.61859287,550.4996481,0.06133785,101.74
"78",78,78,78,78,6037575401,0,14857.66634,7.48347045470718,11.69108081,854.1597288,0.03975537,127.96
"79",79,79,79,79,6037572301,6.90201833,13332.23275,8.58541725609748,11.72604257,2233.800035,0.04050375,79.55
"80",80,80,80,80,6031001100,11.08107564,282.1919131,7.65227739892031,15.50307476,388.3283198,0.060311,108.13
"81",81,81,81,81,6037239310,0,4144.716634,7.32548963378692,12.13275518,3767.169464,0.04435661,113.88
"82",82,82,82,82,6037228900,0,3601.543335,7.48395267534429,12.16800708,508.4178425,0.04588368,80.43
"83",83,83,83,83,6037219901,0.041901739,2082.327657,8.0081532236588,11.94583615,3054.125252,0.04588368,99.57
"84",84,84,84,84,6037570502,0.780461688,7239.183065,8.52597466965479,12.07851936,913.8811807,0.04259906,94.42
